location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
The Gap,Mt Isa,AU,2019-03-10T17:00:00.000Z,2019-03-11T03:00:00+10:00,so2,0,ppm,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
The Gap,Mt Isa,AU,2019-03-10T16:00:00.000Z,2019-03-11T02:00:00+10:00,pm10,7.2,µg/m³,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
Menzies,Mt Isa,AU,2019-03-10T16:00:00.000Z,2019-03-11T02:00:00+10:00,so2,0,ppm,-20.7167,139.492,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#menzies""}]"
The Gap,Mt Isa,AU,2019-03-10T16:00:00.000Z,2019-03-11T02:00:00+10:00,so2,0,ppm,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
The Gap,Mt Isa,AU,2019-03-10T15:00:00.000Z,2019-03-11T01:00:00+10:00,pm10,7.4,µg/m³,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
The Gap,Mt Isa,AU,2019-03-10T15:00:00.000Z,2019-03-11T01:00:00+10:00,so2,0,ppm,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
Menzies,Mt Isa,AU,2019-03-10T15:00:00.000Z,2019-03-11T01:00:00+10:00,so2,0,ppm,-20.7167,139.492,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#menzies""}]"
Menzies,Mt Isa,AU,2019-03-10T14:00:00.000Z,2019-03-11T00:00:00+10:00,so2,0,ppm,-20.7167,139.492,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#menzies""}]"
The Gap,Mt Isa,AU,2019-03-10T14:00:00.000Z,2019-03-11T00:00:00+10:00,so2,0,ppm,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
The Gap,Mt Isa,AU,2019-03-10T14:00:00.000Z,2019-03-11T00:00:00+10:00,pm10,7.5,µg/m³,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
